Voltage,Current,Frequency,Power_Factor,Temperature,THD,Fault
230,5.2,50,0.95,30,2.1,Normal
228,4.8,50,0.96,29,1.8,Normal
232,5.0,50,0.94,31,2.3,Normal
225,5.5,50,0.93,32,2.5,Normal
235,4.7,50,0.97,28,1.5,Normal
230,5.1,49.9,0.95,30,2.0,Normal
229,4.9,50.1,0.96,29,1.9,Normal
231,5.3,50,0.94,31,2.2,Normal
227,5.0,50,0.95,30,2.0,Normal
233,4.6,50,0.97,27,1.6,Normal
230,5.4,50,0.95,30,2.1,Normal
226,4.9,50,0.96,29,1.7,Normal
234,5.2,50.1,0.94,32,2.4,Normal
229,5.1,49.9,0.95,30,2.0,Normal
231,4.8,50,0.96,28,1.8,Normal
245,5.2,50,0.95,31,2.2,Overvoltage
250,5.0,50,0.94,32,2.5,Overvoltage
255,5.4,50,0.93,34,3.0,Overvoltage
260,5.1,50,0.92,35,3.2,Overvoltage
248,4.9,50,0.95,31,2.4,Overvoltage
252,5.3,50.1,0.94,33,2.8,Overvoltage
258,5.5,50,0.91,36,3.5,Overvoltage
262,5.2,49.9,0.90,37,3.8,Overvoltage
247,5.0,50,0.95,32,2.3,Overvoltage
256,5.1,50.1,0.93,34,3.1,Overvoltage
249,5.3,50,0.94,33,2.6,Overvoltage
254,5.0,49.9,0.92,35,3.0,Overvoltage
259,5.4,50,0.91,36,3.4,Overvoltage
246,5.2,50,0.95,31,2.2,Overvoltage
251,5.1,50.1,0.94,33,2.7,Overvoltage
210,5.0,50,0.95,29,2.0,Undervoltage
205,4.9,50,0.94,30,2.2,Undervoltage
200,5.2,50,0.93,31,2.5,Undervoltage
195,5.1,50,0.92,33,2.9,Undervoltage
208,4.8,50.1,0.95,29,2.1,Undervoltage
202,5.3,50,0.94,32,2.6,Undervoltage
198,5.0,49.9,0.93,34,3.0,Undervoltage
212,4.7,50,0.96,28,1.9,Undervoltage
204,5.1,50.1,0.94,31,2.4,Undervoltage
199,5.2,50,0.92,33,2.8,Undervoltage
207,4.9,50,0.95,30,2.0,Undervoltage
201,5.0,49.9,0.93,32,2.7,Undervoltage
209,5.4,50,0.94,31,2.3,Undervoltage
196,5.1,50.1,0.92,34,3.1,Undervoltage
211,4.8,50,0.95,29,2.1,Undervoltage
230,12.0,50,0.75,45,6.5,Overcurrent
228,14.5,50,0.70,50,8.0,Overcurrent
232,16.0,50,0.68,55,9.5,Overcurrent
225,11.5,49.9,0.78,43,6.0,Overcurrent
235,13.2,50,0.72,48,7.5,Overcurrent
229,15.0,50.1,0.69,52,8.8,Overcurrent
231,17.0,50,0.65,58,10.2,Overcurrent
227,12.8,50,0.74,46,7.0,Overcurrent
233,14.0,49.9,0.71,51,8.2,Overcurrent
230,16.5,50,0.67,56,9.8,Overcurrent
226,13.5,50.1,0.73,49,7.8,Overcurrent
234,15.5,50,0.69,53,9.0,Overcurrent
229,12.5,49.9,0.76,44,6.8,Overcurrent
231,14.8,50,0.70,51,8.5,Overcurrent
228,16.2,50.1,0.66,57,9.7,Overcurrent
